date,y_true,y_pred
1989-01-01,22301,22552.418554145122
1989-02-01,19152,19551.75042112358
1989-03-01,20407,19185.8434766097
1989-04-01,19014,18316.94181700091
1989-05-01,16759,18232.465956002536
1989-06-01,18951,18490.596562444138
