date,y_true,y_pred
1989-01-01,23889,24410.265374200626
1989-02-01,21146,21747.743855960136
1989-03-01,22645,23112.16257961878
1989-04-01,22743,22382.61430592616
1989-05-01,20112,20463.009408219914
1989-06-01,22434,23032.600359979573
