date,y_true,y_pred
1989-01-01,34040,34756.53724652702
1989-02-01,30125,32024.483022611865
1989-03-01,33885,34423.84948918923
1989-04-01,30913,32520.39118737959
1989-05-01,27278,30469.06830122549
1989-06-01,29377,29583.663017130082
